activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,resolved_collection,new_title,new_activity_id,mode
E-E10-A1NSNO0788,320011,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,4,2,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-A1MLNO1758,496607,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,5,3,replaced_new_code,matched on new_code (496607),496607,activity,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-25JERC0010,511045,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,6,1,replaced_new_code,matched on new_code (511045),511045,activity,Osaka: Guided Food Tour with 12 Dishes at 4 Local Eateries,6a16919f8e9873e297863e98,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,5,2,replaced_old_code,,E-E10-25NASC0015,across_city_transfer,Train from Tokyo to Osaka(Reserved Category),68e7cb0e6b76504213b21ec7,live
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,6,1,replaced_old_code,,E-E10-A1MLNO1851,within_city_transfer,One way transfer from Osaka City / Namba / Umeda to Universal Studios,6a169205e99099448563504f,live
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,7,1,replaced_new_code,matched on new_code (546327),546327,activity,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,2,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,5,3,replaced_new_code,matched on new_code (496607),496607,activity,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-A1NSNO0896,TRA_57808,New Activity,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,6,1,replaced_new_code,matched on new_code (TRA_57808),TRA_57808,activity,Osaka Dotonbori Naniwa Sightseeing Boat,6a070ad30514b9b2e25595ca,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,2,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25NASC0031,TRA_57793,Similar,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,3,1,replaced_new_code,matched on new_code (TRA_57793),TRA_57793,activity,Hop-On Hop-Off Tokyo Bus by Skyhop Bus,6a070ad00514b9b2e2559597,live
E-E10-A1NSNO0788,320011,New Activity,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,4,3,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-A1MANO0354,TRA_57766,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,7,1,replaced_new_code,matched on new_code (TRA_57766),TRA_57766,activity,Universal Studios Japan 1-day Studio Pass,6a070ac60514b9b2e2559521,live
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,7,2,replaced_old_code,,E-E10-A1MLNO1851,within_city_transfer,One way transfer from Osaka City / Namba / Umeda to Universal Studios,6a169205e99099448563504f,live
E-E10-A1NSNO0865,A1,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,1,3,replaced_new_code,matched on new_code (A1),A1,activity,TeamLab Planets TOKYO Ticket,6a16918e8e9873e297863dc1,live
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,2,1,replaced_new_code,matched on new_code (TRA_57764),TRA_57764,activity,Tokyo Disneyland 1-Day Ticket,6a070ac50514b9b2e2559515,live
E-E10-A1MANO0356,TRA_57765,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,3,1,replaced_new_code,matched on new_code (TRA_57765),TRA_57765,activity,Tokyo DisneySea 1-Day Ticket,6a070ac60514b9b2e255951b,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,2,replaced_old_code,,E-E10-25NASC0015,across_city_transfer,Train from Tokyo to Osaka(Reserved Category),68e7cb0e6b76504213b21ec7,live
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,3,replaced_new_code,matched on new_code (496607),496607,activity,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,5,1,replaced_old_code,,E-E10-A1MLNO1851,within_city_transfer,One way transfer from Osaka City / Namba / Umeda to Universal Studios,6a169205e99099448563504f,live
E-E10-25JERC0017,TRA_57801,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,2,1,replaced_new_code,matched on new_code (TRA_57801),TRA_57801,activity,Tokyo Private Customizable Full-Day Tour,6a070ad20514b9b2e25595b3,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,3,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25NASC0012,RAIL_56327,Exact Match,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,4,2,replaced_old_code,,E-E10-25NASC0012,across_city_transfer,Train from Tokyo to Kyoto(Reserved Category),68e7cb0e6b76504213b21ec9,live
E-E10-JP-KIXJ10,TRA_57783,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,4,3,replaced_new_code,matched on new_code (TRA_57783),TRA_57783,activity,Kyoto Amanohashidate & Miyama Village: Includes boat cruise + cable car + crab lunch (pickup/drop-off in Osaka or Kyoto),6a070ace0514b9b2e2559578,live
E-E10-A1MLNO1763,TRA_57809,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,5,1,replaced_new_code,matched on new_code (TRA_57809),TRA_57809,activity,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a070ad40514b9b2e25595cf,live
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,6,3,replaced_new_code,matched on new_code (496607),496607,activity,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,3,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,3,2,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,4,1,replaced_new_code,matched on new_code (546327),546327,activity,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,7,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25SYLI0016,TRA_57809,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,8,1,replaced_new_code,matched on new_code (TRA_57809),TRA_57809,activity,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a070ad40514b9b2e25595cf,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,3,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,5,3,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-KIXJ3,TRA_57829,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,6,1,replaced_new_code,matched on new_code (TRA_57829),TRA_57829,activity,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070ad50514b9b2e25595f5,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,7,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,10,1,replaced_new_code,matched on new_code (546327),546327,activity,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5de5,japan-with-the-crew,Japan With The Crew,3,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,3,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,5,3,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-KIXJ3,TRA_57829,Similar,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,6,1,replaced_new_code,matched on new_code (TRA_57829),TRA_57829,activity,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070ad50514b9b2e25595f5,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,7,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,2,1,replaced_new_code,matched on new_code (546327),546327,activity,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,2,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,8,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0865,A1,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,1,replaced_new_code,matched on new_code (A1),A1,activity,TeamLab Planets TOKYO Ticket,6a16918e8e9873e297863dc1,live
E-E10-A1MLNO1762,A6,New Activity,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,4,2,replaced_new_code,matched on new_code (A6),A6,activity,TeamLab Biovortex Kyoto Ticket(Afternoon Slot),6a16918f8e9873e297863ddb,live
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,5,1,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
TRA_56242,589308,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,2,replaced_new_code,matched on new_code (589308),589308,activity,Tokyo: Sumo Live Show with Photo in Shinjuku,6a1691a18e9873e297863eae,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,3,1,replaced_new_code,matched on new_code (TRA_57779),TRA_57779,activity,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,5,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,5,2,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5dec,sakura-escape,Sakura Escape,6,1,replaced_new_code,matched on new_code (320011),320011,activity,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
