Package_Name,Destination,Duration_Days,Duration_Nights,Package Highlights (usp),Travel Group,Themes
Thrills of Bali for Two,Bali,8,7,Water Sports + Uluwatu + Kecak + Padang Padang | White Water Rafting | Lembongan Island Beach Club Cruise,COUPLE,"ADVENTURE, BEACH"
Bali Heritage Discovery,Bali,6,5,Tirtha Empul Temple | Besakih Temple + Kintamani | Bedugul + Taman Ayun + Tanah Lot,SOLO,"HISTORY, SPIRITUAL"
Flavours of Bali,Bali,8,7,Balinese Cooking Class | Indian Dinner Seminyak | Romantic Candlelight Dinner Grand Mirage,COUPLE,"FOOD, CULTURE, ROMANTIC"
Bali Culinary Family Adventure,Bali,7,6,Kintamani Volcano + Ubud Village | Balinese Cooking Class | Indian Dinner Ubud,FAMILY,"FOOD, CULTURE"
Foodie Tribe,Bali,7,6,Indian Dinner Seminyak | Water Sports + Uluwatu + Kecak + Padang Padang | Bounty Sunset Dinner Cruise,FRIENDS,"FOOD, NIGHT_LIFE"
Bali Culinary Journey,Bali,6,5,Balinese Cooking Class | Kintamani Volcano + Ubud Village | Tanah Lot + Uluwatu + Kecak Dance,SOLO,"FOOD, CULTURE"
Tropical Nature Escape,Bali,9,8,Banyumala Waterfall + Wanagiri Hills | Taman Griya Waterfall | Sea Safari Cruise,COUPLE,"NATURE, ROMANTIC"
Bali Nature Quest,Bali,7,6,Bali Bird Park | Taman Beji Waterfall + Jungle Cart + Tubing | Kintamani + Waterfall + Rice Fields + Swing,FAMILY,"NATURE, WILDLIFE"
Into the Wild with the Crew,Bali,6,5,Banyumala Waterfall + Wanagiri Hills | White Water Rafting | Kintamani + Waterfall + Rice Fields + Swing,FRIENDS,"NATURE, ADVENTURE"
Into the Wild,Bali,6,5,Taman Griya Waterfall | Uluwatu Sunset Tour | Lempuyang Temple + Tirta Ganga,SOLO,"NATURE, SPIRITUAL"
Wildlife Wonders of Bali,Bali,8,7,Bali Safari Marine Park | Bali Bird Park | Dolphin Watching + Banjar Hot Spring,COUPLE,"WILDLIFE, NATURE"
Bali Wild Kingdom,Bali,7,6,Bali Safari Marine Park | Bali Zoo Breakfast with Orangutan | Bali Safari Marine Park,FAMILY,"WILDLIFE, ADVENTURE"
Tribe Safari,Bali,6,5,Bali Safari Marine Park | Bali Safari Marine Park | Bali Zoo Entry,FRIENDS,"WILDLIFE, ADVENTURE"
Bali Wildlife Explorer,Bali,8,7,Bali Safari Marine Park | Bali Bird Park | Nusa Penida 3 Island Tour,SOLO,"WILDLIFE, NATURE"
Sacred Bali,Bali,9,8,Tirtha Empul Temple | Saraswati Temple | Bedugul + Taman Ayun + Tanah Lot,COUPLE,"SPIRITUAL, CULTURE"
Temples of Bali,Bali,8,7,Bedugul + Taman Ayun + Tanah Lot | ACT_55430 | Besakih Temple + Kintamani,FAMILY,"SPIRITUAL, HISTORY, CULTURE"
Spiritual Seekers,Bali,7,6,Tanah Lot + Uluwatu + Kecak Dance | Bedugul + Taman Ayun + Tanah Lot | Besakih Temple + Kintamani,FRIENDS,"SPIRITUAL, CULTURE"
Inner Peace in Bali,Bali,7,6,Tirtha Empul Temple | Taman Griya Waterfall | Balinese Massage 2hrs,SOLO,"SPIRITUAL, RELAXATION"
Cool Highlands of Bali,Bali,8,7,Git Git Waterfall + Handara Gate | Dolphin Watching + Banjar Hot Spring | Ulun Danu + Handara Gate,COUPLE,"SNOW, MOUNTAIN, NATURE"
Bali Highland Discovery,Bali,7,6,Ulun Danu + Jatiluwih + Monkey Forest | Dolphin Watching + Gitgit Waterfall | Handara Gate + Bedugul + Tanah Lot,FAMILY,"SNOW, MOUNTAIN"
Highland Trek with the Crew,Bali,6,5,Mt Batur Sunrise Jeep Tour | White Water Rafting | Ulun Danu + Handara Gate,FRIENDS,"SNOW, MOUNTAIN, ADVENTURE"
Bali Highland Escape,Bali,5,4,Mt Batur Sunrise Jeep Tour | Ulun Danu + Handara Gate | Dolphin Watching + Gitgit Waterfall,SOLO,"SNOW, MOUNTAIN"
Bali Drive & Romance,Bali,7,6,Private Car 4hrs | Uluwatu Sunset Tour | Taman Griya Waterfall,COUPLE,"SELF_DRIVE, BEACH, NATURE"
Bali Self-Drive Family Explorer,Bali,7,6,Private Car 8hrs | Kintamani Volcano + Ubud Village | Tanah Lot + Uluwatu + Kecak Dance,FAMILY,"SELF_DRIVE, NATURE, CULTURE"
Road Cruise with the Crew,Bali,6,5,Private Car 8hrs | White Water Rafting | Mt Batur Sunrise Jeep Tour,FRIENDS,"SELF_DRIVE, ADVENTURE, BEACH"
Bali Wanderer,Bali,5,4,Git Git Waterfall | Kintamani Volcano + Ubud Village | Tanah Lot + Uluwatu + Kecak Dance,SOLO,"SELF_DRIVE, NATURE"
Volcanic Escape for Two,Bali,8,7,Mt Batur Sunrise Jeep Tour | Besakih Temple + Kintamani | Uluwatu Sunset Tour,COUPLE,"DESERT, MOUNTAIN, ADVENTURE"
Volcanic Bali Family Discovery,Bali,7,6,Kintamani Volcano + Ubud Village | Besakih Temple + Kintamani | Ulun Danu + Jatiluwih + Monkey Forest,FAMILY,"DESERT, MOUNTAIN"
Rugged Bali with the Crew,Bali,6,5,Mt Batur Sunrise Jeep Tour | White Water Rafting | ATV + White Water Rafting,FRIENDS,"DESERT, ADVENTURE"
Volcanic Bali Explorer,Bali,5,4,Mt Batur Sunrise Jeep Tour | Besakih Temple + Kintamani | Kintamani Volcano + Ubud Village,SOLO,"DESERT, MOUNTAIN, NATURE"
Bali Road Romance,Bali,5,4,Water Sports + Uluwatu + Kecak + Padang Padang | Kintamani + Waterfall + Rice Fields + Swing | Banyumala Waterfall + Wanagiri Hills,COUPLE,"ROAD_TRIPS, NATURE, BEACH"
Epic Bali Family Road Trip,Bali,7,6,Tanah Lot + Uluwatu + Kecak Dance | Kintamani Volcano + Ubud Village | Taman Beji Waterfall + Jungle Cart + Tubing,FAMILY,"ROAD_TRIPS, CULTURE, NATURE"
Cross-Island Adventure,Bali,8,7,Benoa Water Sports with Snorkeling | White Water Rafting | Mt Batur Sunrise Jeep Tour,FRIENDS,"ROAD_TRIPS, ADVENTURE, BEACH"
Bali Road Diaries,Bali,5,4,Tanah Lot + Uluwatu + Kecak Dance | Kintamani Volcano + Ubud Village | Barong Dance,SOLO,"ROAD_TRIPS, NATURE, CULTURE"
Best of Bali for Two,Bali,6,5,Benoa Beach + Uluwatu + Melasti | Kintamani Volcano + Ubud Village | Barong Dance,COUPLE,"FIRST_TIME, BEACH, CULTURE"
Best of Bali with Family,Bali,7,6,Benoa Beach + Uluwatu + Melasti | Taman Safari Elephant Back | Balinese Cooking Class,FAMILY,"FIRST_TIME, BEACH, WILDLIFE"
Best of Bali with the Crew,Bali,6,5,Benoa + Uluwatu + GWK | Water Sports + Uluwatu + Kecak + Padang Padang | White Water Rafting,FRIENDS,"FIRST_TIME, BEACH, ADVENTURE"
Best of Bali,Bali,6,5,Tanah Lot + Uluwatu + Kecak Dance | Benoa Beach + Uluwatu + Melasti | Barong Dance,SOLO,"FIRST_TIME, CULTURE, BEACH"
Essence of Bali,Bali,9,8,Kintamani Volcano + Ubud Village | Barong Dance | Besakih Temple + Kintamani,COUPLE,"FIRST_TIME, CULTURE, SPIRITUAL"
